station,month,population
บางซื่อ,jan_60,407394
บางซื่อ,feb_60,393804
บางซื่อ,mar_60,459304
บางซื่อ,apr_60,387952
บางซื่อ,may_60,429761
บางซื่อ,jun_60,463511
บางซื่อ,jul_60,456940
บางซื่อ,aug_60,302773
บางซื่อ,sep_60,164614
บางซื่อ,oct_60,148332
บางซื่อ,nov_60,152166
บางซื่อ,dec_60,134171
กำแพงเพชร,jan_60,127461
กำแพงเพชร,feb_60,126835
กำแพงเพชร,mar_60,132333
กำแพงเพชร,apr_60,128775
กำแพงเพชร,may_60,107238
กำแพงเพชร,jun_60,121473
กำแพงเพชร,jul_60,134978
กำแพงเพชร,aug_60,132479
กำแพงเพชร,sep_60,132701
กำแพงเพชร,oct_60,132985
กำแพงเพชร,nov_60,130121
กำแพงเพชร,dec_60,148047
สวนจตุจักร,jan_60,568661
สวนจตุจักร,feb_60,552833
สวนจตุจักร,mar_60,641153
สวนจตุจักร,apr_60,561960
สวนจตุจักร,may_60,813812
สวนจตุจักร,jun_60,603928
สวนจตุจักร,jul_60,602430
สวนจตุจักร,aug_60,665525
สวนจตุจักร,sep_60,682854
สวนจตุจักร,oct_60,653416
สวนจตุจักร,nov_60,699916
สวนจตุจักร,dec_60,658539
พหลโยธิน,jan_60,522046
พหลโยธิน,feb_60,504924
พหลโยธิน,mar_60,574090
พหลโยธิน,apr_60,502383
พหลโยธิน,may_60,738360
พหลโยธิน,jun_60,555900
พหลโยธิน,jul_60,552151
พหลโยธิน,aug_60,578694
พหลโยธิน,sep_60,563703
พหลโยธิน,oct_60,523164
พหลโยธิน,nov_60,560998
พหลโยธิน,dec_60,537489
ลาดพร้าว,jan_60,514137
ลาดพร้าว,feb_60,494548
ลาดพร้าว,mar_60,567285
ลาดพร้าว,apr_60,471926
ลาดพร้าว,may_60,797474
ลาดพร้าว,jun_60,552532
ลาดพร้าว,jul_60,536918
ลาดพร้าว,aug_60,584035
ลาดพร้าว,sep_60,568071
ลาดพร้าว,oct_60,531724
ลาดพร้าว,nov_60,571873
ลาดพร้าว,dec_60,498594
รัชดาภิเษก,jan_60,147377
รัชดาภิเษก,feb_60,142665
รัชดาภิเษก,mar_60,165562
รัชดาภิเษก,apr_60,131795
รัชดาภิเษก,may_60,235920
รัชดาภิเษก,jun_60,163650
รัชดาภิเษก,jul_60,155744
รัชดาภิเษก,aug_60,169890
รัชดาภิเษก,sep_60,161063
รัชดาภิเษก,oct_60,145557
รัชดาภิเษก,nov_60,161478
รัชดาภิเษก,dec_60,140948
สุทธิสาร,jan_60,382200
สุทธิสาร,feb_60,370355
สุทธิสาร,mar_60,417631
สุทธิสาร,apr_60,335416
สุทธิสาร,may_60,613388
สุทธิสาร,jun_60,410597
สุทธิสาร,jul_60,392239
สุทธิสาร,aug_60,416081
สุทธิสาร,sep_60,400860
สุทธิสาร,oct_60,366390
สุทธิสาร,nov_60,406525
สุทธิสาร,dec_60,362635
ห้วยขวาง,jan_60,529279
ห้วยขวาง,feb_60,513750
ห้วยขวาง,mar_60,579216
ห้วยขวาง,apr_60,478380
ห้วยขวาง,may_60,779170
ห้วยขวาง,jun_60,550502
ห้วยขวาง,jul_60,539561
ห้วยขวาง,aug_60,577043
ห้วยขวาง,sep_60,552637
ห้วยขวาง,oct_60,501724
ห้วยขวาง,nov_60,557800
ห้วยขวาง,dec_60,501013
ศูนย์วัฒนธรรมแห่งประเทศไทย,jan_60,576084
ศูนย์วัฒนธรรมแห่งประเทศไทย,feb_60,560368
ศูนย์วัฒนธรรมแห่งประเทศไทย,mar_60,648184
ศูนย์วัฒนธรรมแห่งประเทศไทย,apr_60,538940
ศูนย์วัฒนธรรมแห่งประเทศไทย,may_60,881666
ศูนย์วัฒนธรรมแห่งประเทศไทย,jun_60,643961
ศูนย์วัฒนธรรมแห่งประเทศไทย,jul_60,614968
ศูนย์วัฒนธรรมแห่งประเทศไทย,aug_60,668594
ศูนย์วัฒนธรรมแห่งประเทศไทย,sep_60,655485
ศูนย์วัฒนธรรมแห่งประเทศไทย,oct_60,592582
ศูนย์วัฒนธรรมแห่งประเทศไทย,nov_60,657355
ศูนย์วัฒนธรรมแห่งประเทศไทย,dec_60,650060
พระราม 9,jan_60,761330
พระราม 9,feb_60,742701
พระราม 9,mar_60,861486
พระราม 9,apr_60,727820
พระราม 9,may_60,1193982
พระราม 9,jun_60,838155
พระราม 9,jul_60,808395
พระราม 9,aug_60,858292
พระราม 9,sep_60,824146
พระราม 9,oct_60,764145
พระราม 9,nov_60,832048
พระราม 9,dec_60,780612
เพชรบุรี,jan_60,625019
เพชรบุรี,feb_60,622913
เพชรบุรี,mar_60,703533
เพชรบุรี,apr_60,568002
เพชรบุรี,may_60,974954
เพชรบุรี,jun_60,648110
เพชรบุรี,jul_60,631009
เพชรบุรี,aug_60,714151
เพชรบุรี,sep_60,696976
เพชรบุรี,oct_60,619821
เพชรบุรี,nov_60,725422
เพชรบุรี,dec_60,604196
สุขุมวิท,jan_60,1177911
สุขุมวิท,feb_60,1172343
สุขุมวิท,mar_60,1337877
สุขุมวิท,apr_60,1108561
สุขุมวิท,may_60,1789126
สุขุมวิท,jun_60,1280862
สุขุมวิท,jul_60,1220291
สุขุมวิท,aug_60,1323064
สุขุมวิท,sep_60,1269907
สุขุมวิท,oct_60,1181109
สุขุมวิท,nov_60,1280328
สุขุมวิท,dec_60,1202684
ศูนย์การประชุมแห่งชาติสิริกิติ์,jan_60,272170
ศูนย์การประชุมแห่งชาติสิริกิติ์,feb_60,420653
ศูนย์การประชุมแห่งชาติสิริกิติ์,mar_60,470661
ศูนย์การประชุมแห่งชาติสิริกิติ์,apr_60,464945
ศูนย์การประชุมแห่งชาติสิริกิติ์,may_60,513012
ศูนย์การประชุมแห่งชาติสิริกิติ์,jun_60,418729
ศูนย์การประชุมแห่งชาติสิริกิติ์,jul_60,332996
ศูนย์การประชุมแห่งชาติสิริกิติ์,aug_60,414773
ศูนย์การประชุมแห่งชาติสิริกิติ์,sep_60,413821
ศูนย์การประชุมแห่งชาติสิริกิติ์,oct_60,507732
ศูนย์การประชุมแห่งชาติสิริกิติ์,nov_60,364982
ศูนย์การประชุมแห่งชาติสิริกิติ์,dec_60,279723
คลองเตย,jan_60,69947
คลองเตย,feb_60,70363
คลองเตย,mar_60,79125
คลองเตย,apr_60,63034
คลองเตย,may_60,112320
คลองเตย,jun_60,74233
คลองเตย,jul_60,70292
คลองเตย,aug_60,78977
คลองเตย,sep_60,75271
คลองเตย,oct_60,67466
คลองเตย,nov_60,75993
คลองเตย,dec_60,69331
ลุมพินี,jan_60,348201
ลุมพินี,feb_60,329321
ลุมพินี,mar_60,379223
ลุมพินี,apr_60,290454
ลุมพินี,may_60,556312
ลุมพินี,jun_60,361466
ลุมพินี,jul_60,333586
ลุมพินี,aug_60,374945
ลุมพินี,sep_60,355790
ลุมพินี,oct_60,311605
ลุมพินี,nov_60,366143
ลุมพินี,dec_60,313324
สีลม,jan_60,653559
สีลม,feb_60,619227
สีลม,mar_60,701959
สีลม,apr_60,584165
สีลม,may_60,967648
สีลม,jun_60,657801
สีลม,jul_60,620683
สีลม,aug_60,699040
สีลม,sep_60,671964
สีลม,oct_60,602609
สีลม,nov_60,674461
สีลม,dec_60,594151
สามย่าน,jan_60,313410
สามย่าน,feb_60,307130
สามย่าน,mar_60,368727
สามย่าน,apr_60,282818
สามย่าน,may_60,451870
สามย่าน,jun_60,307426
สามย่าน,jul_60,303250
สามย่าน,aug_60,349117
สามย่าน,sep_60,381100
สามย่าน,oct_60,322072
สามย่าน,nov_60,347470
สามย่าน,dec_60,271622
หัวลำโพง,jan_60,484775
หัวลำโพง,feb_60,452491
หัวลำโพง,mar_60,473740
หัวลำโพง,apr_60,409203
หัวลำโพง,may_60,580946
หัวลำโพง,jun_60,424202
หัวลำโพง,jul_60,436779
หัวลำโพง,aug_60,471327
หัวลำโพง,sep_60,443477
หัวลำโพง,oct_60,450850
หัวลำโพง,nov_60,485565
หัวลำโพง,dec_60,458129
